Class,Dataset Name,Order,Variable Name,Label,Type,Codelist,Value list,Format,Role,Notes,Core
Events,AE,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,AE,2,DOMAIN,Domain Abbreviation,Char,,AE,,Identifier,Two-character abbreviation for the domain.,Req
Events,AE,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,AE,4,AESEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,AE,5,AEGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Events,AE,6,AEREFID,Reference ID,Char,,,,Identifier,Internal or external identifier such as a serial number on an SAE reporting form.,Perm
Events,AE,7,AESPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events page.,Perm
Events,AE,8,AETERM,Reported Term for the Adverse Event,Char,,,,Topic,Verbatim name of the event.,Req
Events,AE,9,AEMODIFY,Modified Reported Term,Char,,,,Synonym Qualifier,"If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text.",Perm
Events,AE,10,AELLT,Lowest Level Term,Char,,,MedDRA,Variable Qualifier,Dictionary-derived text description of the Lowest Level Term.,Exp
Events,AE,11,AELLTCD,Lowest Level Term Code,Num,,,MedDRA,Variable Qualifier,Dictionary-derived code for the Lowest Level Term.,Exp
Events,AE,12,AEDECOD,Dictionary-Derived Term,Char,,,MedDRA,Synonym Qualifier,Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.,Req
Events,AE,13,AEPTCD,Preferred Term Code,Num,,,MedDRA,Variable Qualifier,Dictionary-derived code for the Preferred Term.,Exp
Events,AE,14,AEHLT,High Level Term,Char,,,MedDRA,Variable Qualifier,Dictionary-derived text description of the High Level Term for the primary System Organ Class.,Exp
Events,AE,15,AEHLTCD,High Level Term Code,Num,,,MedDRA,Variable Qualifier,Dictionary-derived code for the High Level Term for the primary System Organ Class.,Exp
Events,AE,16,AEHLGT,High Level Group Term,Char,,,MedDRA,Variable Qualifier,Dictionary-derived text description of the High Level Group Term for the primary System Organ Class.,Exp
Events,AE,17,AEHLGTCD,High Level Group Term Code,Num,,,MedDRA,Variable Qualifier,Dictionary-derived code for the High Level Group Term for the primary System Organ Class.,Exp
Events,AE,18,AECAT,Category for Adverse Event,Char,,,,Grouping Qualifier,"Used to define a category of related records. Example: BLEEDING, NEUROPSYCHIATRIC.",Perm
Events,AE,19,AESCAT,Subcategory for Adverse Event,Char,,,,Grouping Qualifier,A further categorization of adverse event. Example: NEUROLOGIC.,Perm
Events,AE,20,AEPRESP,Pre-Specified Adverse Event,Char,C66742,,,Variable Qualifier,"A value of ""Y"" indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)",Perm
Events,AE,21,AEBODSYS,Body System or Organ Class,Char,,,,Record Qualifier,"Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",Exp
Events,AE,22,AEBDSYCD,Body System or Organ Class Code,Num,,,MedDRA,Variable Qualifier,"Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC.",Exp
Events,AE,23,AESOC,Primary System Organ Class,Char,,,MedDRA,Variable Qualifier,Dictionary-derived text description of the primary System Organ Class. Will be the same as AEBODSYS if the primary SOC was used for analysis.,Exp
Events,AE,24,AESOCCD,Primary System Organ Class Code,Num,,,MedDRA,Variable Qualifier,Dictionary-derived code for the primary System Organ Class. Will be the same as AEBDSYCD if the primary SOC was used for analysis.,Exp
Events,AE,25,AELOC,Location of Event,Char,C74456,,,Record Qualifier,"Describes anatomical location relevant for the event (e.g., ARM for skin rash).",Perm
Events,AE,26,AESEV,Severity/Intensity,Char,C66769,,,Record Qualifier,"The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.",Perm
Events,AE,27,AESER,Serious Event,Char,C66742,,,Record Qualifier,Is this a serious event?,Exp
Events,AE,28,AEACN,Action Taken with Study Treatment,Char,C66767,,,Record Qualifier,"Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE.",Exp
Events,AE,29,AEACNOTH,Other Action Taken,Char,,,,Record Qualifier,"Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: ""TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.""",Perm
Events,AE,30,AEREL,Causality,Char,,,,Record Qualifier,"Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this variable.",Exp
Events,AE,31,AERELNST,Relationship to Non-Study Treatment,Char,,,,Record Qualifier,"Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE."".",Perm
Events,AE,32,AEPATT,Pattern of Adverse Event,Char,,,,Record Qualifier,"Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.",Perm
Events,AE,33,AEOUT,Outcome of Adverse Event,Char,C66768,,,Record Qualifier,Description of the outcome of an event.,Perm
Events,AE,34,AESCAN,Involves Cancer,Char,C66742,,,Record Qualifier,Was the serious event associated with the development of cancer?,Perm
Events,AE,35,AESCONG,Congenital Anomaly or Birth Defect,Char,C66742,,,Record Qualifier,Was the serious event associated with congenital anomaly or birth defect?,Perm
Events,AE,36,AESDISAB,Persist or Signif Disability/Incapacity,Char,C66742,,,Record Qualifier,Did the serious event result in persistent or significant disability/incapacity?,Perm
Events,AE,37,AESDTH,Results in Death,Char,C66742,,,Record Qualifier,Did the serious event result in death?,Perm
Events,AE,38,AESHOSP,Requires or Prolongs Hospitalization,Char,C66742,,,Record Qualifier,Did the serious event require or prolong hospitalization?,Perm
Events,AE,39,AESLIFE,Is Life Threatening,Char,C66742,,,Record Qualifier,Was the serious event life threatening?,Perm
Events,AE,40,AESOD,Occurred with Overdose,Char,C66742,,,Record Qualifier,Did the serious event occur with an overdose?,Perm
Events,AE,41,AESMIE,Other Medically Important Serious Event,Char,C66742,,,Record Qualifier,Do additional categories for seriousness apply?,Perm
Events,AE,42,AECONTRT,Concomitant or Additional Trtmnt Given,Char,C66742,,,Record Qualifier,Was another treatment given because of the occurrence of the event?,Perm
Events,AE,43,AETOXGR,Standard Toxicity Grade,Char,,,,Record Qualifier,"Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see Assumption 6d). If value is from a numeric scale, represent only the number (e.g., ""2"" and not ""Grade 2"").",Perm
Events,AE,44,AESTDTC,Start Date/Time of Adverse Event,Char,,,ISO 8601,Timing,,Exp
Events,AE,45,AEENDTC,End Date/Time of Adverse Event,Char,,,ISO 8601,Timing,,Exp
Events,AE,46,AESTDY,Study Day of Start of Adverse Event,Num,,,,Timing,Study day of start of adverse event relative to the sponsor-defined RFSTDTC.,Perm
Events,AE,47,AEENDY,Study Day of End of Adverse Event,Num,,,,Timing,Study day of end of event relative to the sponsor-defined RFSTDTC.,Perm
Events,AE,48,AEDUR,Duration of Adverse Event,Char,,,ISO 8601,Timing,"Collected duration and unit of an adverse event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).",Perm
Events,AE,49,AEENRF,End Relative to Reference Period,Char,C66728,,,Timing,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial.,Perm
Events,AE,50,AEENRTPT,End Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.,Perm
Events,AE,51,AEENTPT,End Reference Time Point,Char,,,,Timing,"Description of date/time in ISO 8601 character format of the reference point referred to by AEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
Events,CE,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,CE,2,DOMAIN,Domain Abbreviation,Char,,CE,,Identifier,Two-character abbreviation for the domain.,Req
Events,CE,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,CE,4,CESEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,CE,5,CEGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records for a subject within a domain.,Perm
Events,CE,6,CEREFID,Reference ID,Char,,,,Identifier,Internal or external identifier.,Perm
Events,CE,7,CESPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.,Perm
Events,CE,8,CETERM,Reported Term for the Clinical Event,Char,,,,Topic,Term for the medical condition or event. Most likely pre-printed on CRF.,Req
Events,CE,9,CEDECOD,Dictionary-Derived Term,Char,,,,Synonym Qualifier,Controlled terminology for the name of the clinical event. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Perm
Events,CE,10,CECAT,Category for Clinical Event,Char,,,,Grouping Qualifier,Used to define a category of related records.,Perm
Events,CE,11,CESCAT,Subcategory for Clinical Event,Char,,,,Grouping Qualifier,A further categorization of the condition or event.,Perm
Events,CE,12,CEPRESP,Clinical Event Pre-Specified,Char,C66742,,,Variable Qualifier,"Used to indicate whether the Event in CETERM was pre-specified. Value is Y for pre-specified events, null for spontaneously reported events.",Perm
Events,CE,13,CEOCCUR,Clinical Event Occurrence,Char,C66742,,,Record Qualifier,Used when the occurrence of specific events is solicited to indicate whether or not a clinical event occurred. Values are null for spontaneously reported events.,Perm
Events,CE,14,CESTAT,Completion Status,Char,C66789,,,Record Qualifier,The status indicates that a question from a pre-specified list was not answered.,Perm
Events,CE,15,CEREASND,Reason Clinical Event Not Collected,Char,,,,Record Qualifier,Describes the reason clinical event data was not collected. Used in conjunction with CESTAT when value is NOT DONE.,Perm
Events,CE,16,CEBODSYS,Body System or Organ Class,Char,,,,Record Qualifier,"Dictionary-derived. Body system or organ class that is involved in an event or measurement from a standard hierarchy (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",Perm
Events,CE,17,CESEV,Severity/Intensity,Char,,,,Record Qualifier,"The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE",Perm
Events,CE,18,CEDTC,Date/Time of Event Collection,Char,,,ISO 8601,Timing,,Perm
Events,CE,19,CESTDTC,Start Date/Time of Clinical Event,Char,,,ISO 8601,Timing,,Perm
Events,CE,20,CEENDTC,End Date/Time of Clinical Event,Char,,,ISO 8601,Timing,,Perm
Events,CE,21,CEDY,Study Day of Event Collection,Num,,,,Timing,"1. Study day of clinical event collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
Events,CE,22,CESTRF,Start Relative to Reference Period,Char,C66728,,,Timing,Describes the start of the clinical event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics).,Perm
Events,CE,23,CEENRF,End Relative to Reference Period,Char,C66728,,,Timing,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics).,Perm
Events,CE,24,CESTRTPT,Start Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the start of the observation as being before or after the reference time point defined by variable CESTTPT.,Perm
Events,CE,25,CESTTPT,Start Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by --STRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".",Perm
Events,CE,26,CEENRTPT,End Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the end of the event as being before or after the reference time point defined by variable CEENTPT.,Perm
Events,CE,27,CEENTPT,End Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by CEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
Events,DS,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,DS,2,DOMAIN,Domain Abbreviation,Char,,DS,,Identifier,Two-character abbreviation for the domain.,Req
Events,DS,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,DS,4,DSSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,DS,5,DSGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Events,DS,6,DSREFID,Reference ID,Char,,,,Identifier,Internal or external identifier.,Perm
Events,DS,7,DSSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Disposition page.,Perm
Events,DS,8,DSTERM,Reported Term for the Disposition Event,Char,,,,Topic,"Verbatim name of the event or protocol milestone. Some terms in DSTERM will match DSDECOD, but others, such as ""Subject moved"" will map to controlled terminology in DSDECOD, such as ""LOST TO FOLLOW-UP.""",Req
Events,DS,9,DSDECOD,Standardized Disposition Term,Char,C66727,,,Synonym Qualifier,"Controlled terminology for the name of disposition event or protocol milestone. Examples of protocol milestones: INFORMED CONSENT OBTAINED, RANDOMIZED",Req
Events,DS,10,DSCAT,Category for Disposition Event,Char,C74558,,,Grouping Qualifier,"Used to define a category of related records. DSCAT is now an ""Expected"" variable. DSCAT was permissible in SDTMIG 3.1.1 and earlier versions. The change from ""permissible"" to ""expected"" is based on the requirement to distinguish protocol milestones and/or other events from disposition events. DSCAT may be null if there are only ""disposition events""; however, it is recommended that DSCAT always be populated.",Exp
Events,DS,11,DSSCAT,Subcategory for Disposition Event,Char,,,,Grouping Qualifier,A further categorization of disposition event.,Perm
Events,DS,12,EPOCH,Epoch,Char,C99079,,,Timing,"EPOCH may be used when DSCAT = ""DISPOSITION EVENT"". Examples: SCREENING, TREATMENT, FOLLOW-UP",Perm
Events,DS,13,DSDTC,Date/Time of Collection,Char,,,ISO 8601,Timing,,Perm
Events,DS,14,DSSTDTC,Start Date/Time of Disposition Event,Char,,,ISO 8601,Timing,,Exp
Events,DS,15,DSSTDY,Study Day of Start of Disposition Event,Num,,,,Timing,Study day of start of event relative to the sponsor-defined RFSTDTC.,Perm
Events,DV,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,DV,2,DOMAIN,Domain Abbreviation,Char,,DV,,Identifier,Two-character abbreviation for the domain.,Req
Events,DV,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,DV,4,DVSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,DV,5,DVREFID,Reference ID,Char,,,,Identifier,Internal or external identifier.,Perm
Events,DV,6,DVSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.,Perm
Events,DV,7,DVTERM,Protocol Deviation Term,Char,,,,Topic,"Verbatim name of the protocol deviation criterion. Example: IVRS PROCESS DEVIATION - NO DOSE CALL PERFORMED. The DVTERM values will map to the controlled terminology in DVDECOD, such as TREATMENT DEVIATION.",Req
Events,DV,8,DVDECOD,Protocol Deviation Coded Term,Char,,,,Synonym Qualifier,"Controlled terminology for the name of the protocol deviation. Examples: SUBJECT NOT WITHDRAWN AS PER PROTOCOL, SELECTION CRITERIA NOT MET, EXCLUDED CONCOMITANT MEDICATION, TREATMENT DEVIATION.",Perm
Events,DV,9,DVCAT,Category for Protocol Deviation,Char,,,,Grouping Qualifier,Category of the protocol deviation criterion.,Perm
Events,DV,10,DVSCAT,Subcategory for Protocol Deviation,Char,,,,Grouping Qualifier,A further categorization of the protocol deviation.,Perm
Events,DV,11,EPOCH,Epoch,Char,C99079,,,Timing,"Epoch associated with the start date/time of the deviation. Examples: TREATMENT PHASE, SCREENING, and FOLLOW-UP.",Perm
Events,DV,12,DVSTDTC,Start Date/Time of Deviation,Char,,,ISO 8601,Timing,Start date/time of deviation represented in ISO 8601 character format.,Perm
Events,DV,13,DVENDTC,End Date/Time of Deviation,Char,,,ISO 8601,Timing,End date/time of deviation represented in ISO 8601 character format.,Perm
Events,HO,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,HO,2,DOMAIN,Domain Abbreviation,Char,,HO,,Identifier,Two-character abbreviation for the domain.,Req
Events,HO,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,HO,4,HOSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,HO,5,HOGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Events,HO,6,HOREFID,Reference ID,Char,,,,Identifier,Internal or external healthcare encounter identifier.,Perm
Events,HO,7,HOSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Healthcare encounters page.,Perm
Events,HO,8,HOTERM,Reported Term for the Healthcare Encounter,Char,,,,Topic,Verbatim or preprinted CRF term for the healthcare encounter.,Req
Events,HO,9,HODECOD,Dictionary-Derived Term for the Healthcare Encounter,Char,,,,Synonym Qualifier,Dictionary or sponsor-defined derived text description of HOTERM or the modified topic variable (HOMODIFY).,Perm
Events,HO,10,HOCAT,Category for Healthcare Encounter,Char,,,,Grouping Qualifier,Used to define a category of topic-related values.,Perm
Events,HO,11,HOSCAT,Subcategory for Healthcare Encounter,Char,,,,Grouping Qualifier,A further categorization of HOCAT values.,Perm
Events,HO,12,HOPRESP,Pre-Specified Healthcare Encounter,Char,C66742,,,Record Qualifier,"A value of ""Y"" indicates that this healthcare encounter event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)",Perm
Events,HO,13,HOOCCUR,Healthcare Encounter Occurrence,Char,C66742,,,Record Qualifier,Used when the occurrence of specific healthcare encounters is solicited to indicate whether or not an encounter occurred. Values are null for spontaneously reported events.,Perm
Events,HO,14,HOSTAT,Completion Status,Char,C66789,,,Record Qualifier,The status indicates that the pre-specified question was not answered.,Perm
Events,HO,15,HOREASND,Reason Healthcare Encounter Not Done,Char,,,,Record Qualifier,Describes the reason data for a pre-specified event was not collected. Used in conjunction with HOSTAT when value is NOT DONE.,Perm
Events,HO,16,HODTC,Date/Time of Event Collection,Char,,,ISO 8601,Timing,Collection date and time of the healthcare encounter.,Perm
Events,HO,17,HOSTDTC,Start Date/Time of Healthcare Encounter,Char,,,ISO 8601,Timing,"Start date/time of the healthcare encounter (e.g., date of admission).",Exp
Events,HO,18,HOENDTC,End Date/Time of Healthcare Encounter,Char,,,ISO 8601,Timing,End date/time of the healthcare encounter (date of discharge).,Perm
Events,HO,19,HODY,Study Day of Event Collection,Num,,,,Timing,Study day of event collection relative to the sponsor-defined RFSTDTC.,Perm
Events,HO,20,HOSTDY,Study Day of Start of Healthcare Encounter,Num,,,,Timing,Study day of the start of the healthcare encounter relative to the sponsor-defined RFSTDTC.,Perm
Events,HO,21,HOENDY,Study Day of End of Healthcare Encounter,Num,,,,Timing,Study day of the end of the healthcare encounter relative to the sponsor-defined RFSTDTC.,Perm
Events,HO,22,HODUR,Duration of Healthcare Encounter,Char,,,ISO 8601,Timing,"Collected duration of the healthcare encounter. Used only if collected on the CRF and not derived from the start and end date/times. Example: P1DT2H (for 1 day, 2 hours).",Perm
Events,HO,23,HOSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the start of the observation as being before or after the sponsor-defined reference time point defined by variable --STTPT.,Perm
Events,HO,24,HOSTTPT,Start Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by STRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".",Perm
Events,HO,25,HOENRTPT,End Relative to Reference Time Point,Char,C66728,,,Timing,Identifies the end of the event as being before or after the reference time point defined by variable HOENTPT.,Perm
Events,HO,26,HOENTPT,End Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by HOENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
Events,MH,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study.,Req
Events,MH,2,DOMAIN,Domain Abbreviation,Char,,MH,,Identifier,Two-character abbreviation for the domain.,Req
Events,MH,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
Events,MH,4,MHSEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Events,MH,5,MHGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Events,MH,6,MHREFID,Reference ID,Char,,,,Identifier,Internal or external medical history identifier.,Perm
Events,MH,7,MHSPID,Sponsor-Defined Identifier,Char,,,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Medical History page.,Perm
Events,MH,8,MHTERM,Reported Term for the Medical History,Char,,,,Topic,Verbatim or preprinted CRF term for the medical condition or event.,Req
Events,MH,9,MHMODIFY,Modified Reported Term,Char,,,,Synonym Qualifier,"If MHTERM is modified to facilitate coding, then MHMODIFY will contain the modified text.",Perm
Events,MH,10,MHDECOD,Dictionary-Derived Term,Char,,,,Synonym Qualifier,Dictionary-derived text description of MHTERM or MHMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.,Perm
Events,MH,11,MHCAT,Category for Medical History,Char,,,,Grouping Qualifier,Used to define a category of related records. Examples: CARDIAC or GENERAL,Perm
Events,MH,12,MHSCAT,Subcategory for Medical History,Char,,,,Grouping Qualifier,A further categorization of the condition or event.,Perm
Events,MH,13,MHPRESP,Medical History Event Pre-Specified,Char,C66742,,,Variable Qualifier,"A value of ""Y"" indicates that this medical history event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)",Perm
Events,MH,14,MHOCCUR,Medical History Occurrence,Char,C66742,,,Record Qualifier,Used when the occurrence of specific medical history conditions is solicited to indicate whether or not (Y/N) a medical condition (MHTERM) had ever occurred. Values are null for spontaneously reported events.,Perm
Events,MH,15,MHSTAT,Completion Status,Char,C66789,,,Record Qualifier,The status indicates that the pre-specified question was not asked/answered.,Perm
Events,MH,16,MHREASND,Reason Medical History Not Done or Not Occurred,Char,,,,Record Qualifier,Reason the question was not asked/answered or an intervention did not occur. Used in conjunction with negation indicators --STAT of 'NOT DONE' or --OCCUR of 'N',Perm
Events,MH,17,MHBODSYS,Body System or Organ Class,Char,,,,Record Qualifier,"Dictionary-derived. Body system or organ class that is involved in an event or measurement from a standard hierarchy (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",Perm
Events,MH,18,MHDTC,Date/Time of History Collection,Char,,,ISO 8601,Timing,,Perm
Events,MH,19,MHSTDTC,Start Date/Time of Medical History Event,Char,,,ISO 8601,Timing,,Perm
Events,MH,20,MHENDTC,End Date/Time of Medical History Event,Char,,,ISO 8601,Timing,,Perm
Events,MH,21,MHDY,Study Day of History Collection,Num,,,,Timing,"1. Study day of medical history collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
Events,MH,22,MHENRF,End Relative to Reference Period,Char,C66728,,,Timing,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics),Perm
Events,MH,23,MHENRTPT,End Relative to Reference Time Point,Char,,AFTER; BEFORE; COINCIDENT; ONGOING; U,,Timing,Identifies the end of the event as being before or after the reference time point defined by variable MHENTPT.,Perm
Events,MH,24,MHENTPT,End Reference Time Point,Char,,,,Timing,"Description or date/time in ISO 8601 character format of the reference point referred to by MHENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",Perm
Findings,DA,1,STUDYID,Study Identifier,Char,,,,Identifier,Unique identifier for a study within the submission.,Req
Findings,DA,2,DOMAIN,Domain Abbreviation,Char,,DA,,Identifier,Two-character abbreviation for the domain.,Req
Findings,DA,3,USUBJID,Unique Subject Identifier,Char,,,,Identifier,Unique subject identifier within the submission.,Req
Findings,DA,4,DASEQ,Sequence Number,Num,,,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
Findings,DA,5,DAGRPID,Group ID,Char,,,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
Findings,DA,6,DAREFID,Reference ID,Char,,,,Identifier,Internal or external identifier such as label number.,Perm
Findings,DA,7,DASPID,Sponsor-Defined Identifier,Char,,,,Identifier,"Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Examples: Line number on the Drug Accountability page, drug label code.",Perm
Findings,DA,8,DATESTCD,Short Name of Accountability Assessment,Char,,,,Topic,"Short character value for DATEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters and cannot begin with a number or contain characters other than letters, numbers or underscores. Example: DISPAMT, RETAMT.",Req
Findings,DA,9,DATEST,Name of Accountability Assessment,Char,,,,Synonym Qualifier,"Verbatim name, corresponding to the topic variable, of the test or examination used to obtain the drug accountability assessment. The value in DATEST cannot be longer than 40 characters. Example: Dispensed Amount, Returned Amount.",Req
Findings,DA,10,DACAT,Category of Assessment,Char,,,,Grouping Qualifier,"Used to define a category of related records. Examples: STUDY MEDICATION, RESCUE MEDICATION.",Perm
Findings,DA,11,DASCAT,Subcategory of Assessment,Char,,,,Grouping Qualifier,Used to define a further categorization level for a group of related records.,Perm
Findings,DA,12,DAORRES,Assessment Result in Original Units,Char,,,,Result Qualifier,Result of the Drug Accountability assessment as originally received or collected.,Exp
Findings,DA,13,DAORRESU,Original Units,Char,C71620,,,Variable Qualifier,Unit for DAORRES.,Perm
Findings,DA,14,DASTRESC,Assessment Result in Std Format,Char,,,,Result Qualifier,"Contains the result value for all Drug Accountability assessments, copied or derived from DAORRES in a standard format or in standard units. DASTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in DASTRESN.",Exp
